id	label	prediction	aggressive_probability	non-aggressive_probability	text
43		non-aggressive	0.064	0.936	Aye but honestly his parents raised him to be that way
44		non-aggressive	0.084	0.916	I just dont have patience for playing games anymore
45		non-aggressive	0.065	0.935	Dat twitter pic macaaadelic 👌
46		non-aggressive	0.019	0.981	culbynanners haha thanks😊 but its not that hard  just throw it on the grill lol
47		non-aggressive	0.131	0.869	Picked these puppies up a few days ago httptco2NXa4WMQKw
48		non-aggressive	0.102	0.898	“QBook0321 arriel29 YEESSS I stay watching Kenan amp Kel Rugrats amp Hey Arnold” Too peas in a pod lol thats forever my shit
49		non-aggressive	0.102	0.898	lexisvasquez dzapien02 you cant say I didnt  P
50		aggressive	0.713	0.287	This nigga Bitch and dont do shit productive nigga just need to leave
51		non-aggressive	0.044	0.956	2015 Graduationyear
52		non-aggressive	0.049	0.951	True life I need a boyfriend
53		non-aggressive	0.041	0.959	Race against the clock I hope I make it in time
54		non-aggressive	0.053	0.947	kbeamy ItzKingMundy DYING I have  one too though httptcozIGtyNEEhq
55		non-aggressive	0.057	0.943	Happy birthday 😘 JennHardingggg
56		non-aggressive	0.104	0.896	Im a ditzy girl There really isnt a such thing as chill for me 😳
57		non-aggressive	0.07	0.93	“IReasonsToSmile Niall Horan httptcosQAewK8klN” fnkycoldmedina
58		non-aggressive	0.057	0.943	tnwhiskeywoman Ooh sounds delightful  new detergent Yoga pants
59		non-aggressive	0.07	0.93	Why do I continue to talk to you The same thing happens every time
60		non-aggressive	0.034	0.966	94Krolo I thought it was one but I wasnt sure
61		non-aggressive	0.486	0.514	I think its bullshit when people hate on something that you like to do like fuck off this isnt your life Its mine back off k
62		non-aggressive	0.056	0.944	Buzz22 Chicagos Ghost Bike Opens Tonight httptcog6yPO5rUmd
63		non-aggressive	0.104	0.896	Only if everyone knew what its like for me
64		non-aggressive	0.047	0.953	Question I think it would be fun if my girlfriend and I swapped apartments for an evening She disagrees Who is right BstHrLClr
65		non-aggressive	0.028	0.972	And I love it Frozen
66		non-aggressive	0.07	0.93	CURRENTSITUATION 😘👌 httptcoUhWFPsXhsO
67		non-aggressive	0.043	0.957	ITS MY BESTFRIENDS BIRTHDAYYYYY
68		non-aggressive	0.057	0.943	MoneyMir Happy Birthday
69		non-aggressive	0.033	0.967	Happy birthday to my first Westview friend lucashunter9
70		non-aggressive	0.116	0.884	Oh if you still love me Dont just assume I know🎶
71		non-aggressive	0.052	0.948	Why is twitter dead
72		non-aggressive	0.016	0.984	“hannahetemple I wish the walls in this place werent paperthin so I wouldnt have to hear my neighbor having sex” Jekema sounds right😂
73		non-aggressive	0.05	0.95	LMFAO this is so awk
74		non-aggressive	0.157	0.843	Stone Cold would still beat his ass tho httptcoYeSlWe8Lyn
75		non-aggressive	0.013	0.987	“crxmpets can summer hurry up so I can lay in my court and look at the stars” w bibby
76		non-aggressive	0.069	0.931	GrawDoe7 you too 👟1⃣3⃣s
77		non-aggressive	0.049	0.951	rachelleamelia wait can I call u So much to tell u
78		non-aggressive	0.15	0.85	sammibased instantly g You cant go like that
79		non-aggressive	0.027	0.973	leXxb3rries ik lmaooo but Id still want to go and say I saw it and stuff
80		non-aggressive	0.056	0.944	AlexusPotts you say thy but youll miss it I promise I said the same thing
81		non-aggressive	0.057	0.943	Will it still be snowing in May I wonder
82		non-aggressive	0.055	0.945	Happy birthday guys 😘😘 xoxolyssaa tharealnariah
83		non-aggressive	0.226	0.774	DerrickDinero “HighKlassMugga Realest shit 💯👌 httptcoVSInaLotd6”
84		non-aggressive	0.117	0.883	That kinda pissed me off lol
85		non-aggressive	0.046	0.954	I think I favorite almost all of oomf tweets oops awkcotaco sprrynotsorry
86		non-aggressive	0.108	0.892	Who tryna pull this all nighter with me tho
87		non-aggressive	0.043	0.957	Im at Genos Place Calumet IL httptconxrk0VGpML
88		non-aggressive	0.031	0.969	Forgot to turn on the left half of my electric blanket 😑
89		non-aggressive	0.041	0.959	Had that convo with the man up stairs he said my time is coming JustWaitOnIt  Blessed 🙏🙏 httptcomUuvVqcTRw
90		non-aggressive	0.033	0.967	Im waiting for the day a demon comes crawling in my bed because I didnt retweet a stupid picture
91		non-aggressive	0.065	0.935	Oh hello anxiety attacks
92		non-aggressive	0.124	0.876	Lyndaadlr im being deadass you guys should come out Talk to some homies
93		non-aggressive	0.045	0.955	jkJessKidding I know it feels like we never have enough time to see you guys
94		non-aggressive	0.054	0.946	QuavyMad go away
95		non-aggressive	0.146	0.854	JasmaW lol ight cool Keep your head up😌
96		non-aggressive	0.061	0.939	inkdsamm lmao pray for them
97		non-aggressive	0.081	0.919	gabesanchez12 you know Louiss gf Lol
98		non-aggressive	0.137	0.863	I like shorty but she prolly aint my type
99		non-aggressive	0.047	0.953	AintYouJay you got yo nerves lol  amp I ant a cake im just speaking on whats on my mind dang
100		non-aggressive	0.06	0.94	rachelleamelia no new calls Or like yes
101		non-aggressive	0.108	0.892	meisternicole Breezy3 ETisthename sorry Im starting to run low
102		non-aggressive	0.021	0.979	I wish i could be chillin on the beach with carson n joe right about now Miss Florida so much 😔
103		non-aggressive	0.056	0.944	Help  Ive done it again
104		non-aggressive	0.053	0.947	🙈😱😧😋☺️i just got asked to prom
105		non-aggressive	0.05	0.95	My boyfriend is the reason Im fat
106		non-aggressive	0.086	0.914	AnyaLasagna27 macaRAINAncheez so Im guessing your mom doesnt want any meth of mine
107		non-aggressive	0.04	0.96	Gaga on jimmy Kimmel live I cannot
108		non-aggressive	0.036	0.964	Craving ChipotleI have to go there this weekend 😋
109		non-aggressive	0.086	0.914	zPaaKi MajManiak JpShotz they have me second major  httptcog7E2eP1fcv
110		non-aggressive	0.058	0.942	mrussotto1 Hi there Nice to connect
111		non-aggressive	0.02	0.98	GelicaDee lmao omg I so wish I want to be her when I grow up lol lt3
112		non-aggressive	0.056	0.944	DrJ691 seriously This must be what drives criminals to the brink
113		non-aggressive	0.058	0.942	my wrist hurts
114		non-aggressive	0.026	0.974	mary10128 Feel free to jump on the Orange and Blue bandwagon ILL B1GTourney
115		non-aggressive	0.018	0.982	Always break bread with your best Had the opportunity to do so tonight in Chicago talent httptcoYS3rdkqNqt
116		non-aggressive	0.304	0.696	everything that dont make sense about me makes sense when Im with you
117		non-aggressive	0.054	0.946	Dari Thinks Doesnt Know Yu Yur Pretty nd Style Is A1 FB Though 😘👑 IamRooski
118		non-aggressive	0.07	0.93	Cxrayyy research theology
119		non-aggressive	0.07	0.93	Last time you see my name pop up
120		non-aggressive	0.075	0.925	Im thinking Milas tomorrow
121		non-aggressive	0.094	0.906	fuck its already 1201
122		non-aggressive	0.215	0.785	My baby be snoring her ass off
123		non-aggressive	0.042	0.958	I want to cry but I just cant
124		non-aggressive	0.059	0.941	seekneee sameing too hard rn
125		non-aggressive	0.104	0.896	Im out
126		non-aggressive	0.058	0.942	I love you and you are perfect gaga
127		non-aggressive	0.036	0.964	Zeionvsdeion actuslly 4 ole miss won which is 3 plus that 1dollar I owe you
128		non-aggressive	0.016	0.984	there is only one thing I want by the end of the night
129		non-aggressive	0.03	0.97	I have so many things to write but I cant physically input all of my thoughts into something comprehensible immediately its a damn shame
130		non-aggressive	0.158	0.842	Dont let your past ruin you Its behind you for a reason
131		non-aggressive	0.125	0.875	queenlani son Lmfao Im tired of you already😂
132		non-aggressive	0.056	0.944	As you can tell from my last tweet I like a nice butt
133		non-aggressive	0.045	0.955	Ugh hate being the  new girl  like i feel so lost with every thing and everyone
134		non-aggressive	0.064	0.936	Good night bitches ✌️
135		non-aggressive	0.078	0.922	EmilyLauren4 meh is such a universal word
136		non-aggressive	0.035	0.965	But I know how to make someone laugh Thats all I need 👏
137		non-aggressive	0.243	0.757	You staying up with a real nigga tonight CaramelMochaBri
138		non-aggressive	0.093	0.907	Best pickup line is your name homework Because I should be doing ya
139		non-aggressive	0.199	0.801	Someone really fucking needs to call the fucking RA Right fucking now
140		non-aggressive	0.036	0.964	robportman RenewUi thank you Mr Portman for trying2help us its ashame that you all get another 10 days off while we lose everything 41
141		non-aggressive	0.056	0.944	Inn my feelings
142		non-aggressive	0.037	0.963	I love me enough for the both of us
143		aggressive	0.576	0.424	I dont fuck with you anymore so dont text me call me snap me NOTHING ASSOCIATED WITH ME Got it 😏
144		non-aggressive	0.039	0.961	Thank you Pandora for playing everything except the artist that I suggested
145		non-aggressive	0.054	0.946	The ending of greysgtgt
146		non-aggressive	0.017	0.983	Just one episode we said and four hours later mom and I are still glued to the television watching VeronicaMars
147		non-aggressive	0.082	0.918	Every time daniinicole16 screenshots my snaps a part of me dies inside
148		non-aggressive	0.059	0.941	TheAdoredLife the truest definition of YOLO there ever was Ps Youre a QT
149		non-aggressive	0.054	0.946	QuavyMad k have fun
150		non-aggressive	0.016	0.984	Im at XSport Fitness Chicago IL w 3 others httptcoAgTbzNJhqc
151		non-aggressive	0.029	0.971	This is great and I hope Pontifex accepts the invite Hopefully he can talk some sense into our political leaders httptcoR6K0pxFJye
152		non-aggressive	0.045	0.955	Seriously its like heaven in my mouth
153		non-aggressive	0.062	0.938	Like the only person i have is kriss 😂😭
154		non-aggressive	0.035	0.965	I need to put my troubles aside focus on my goals and get my priorities set straight and only then will I be on the right path
155		non-aggressive	0.014	0.986	Id have to say I have had a pretty good spring break so far
156		non-aggressive	0.251	0.749	Umm wtf i dont care what side of town you live on If youre cool people youre cool people Lmao 🙆
157		non-aggressive	0.032	0.968	What do lions call zebras in Africa fastfood coming from my random best friends African roommate
158		non-aggressive	0.283	0.717	MzImDaShyt right u deleted itbut re tag me cause im tryna be whipping by Friday my nigga
159		non-aggressive	0.047	0.953	Bragging about all the celebrities I met
160		non-aggressive	0.028	0.972	Cruise in the Whip PT 5 classisinsession LISTEN on Mixcrate… httptco9m8BJo1Sn2
161		non-aggressive	0.089	0.911	AnyaLasagna27 yup datz me 😒
162		non-aggressive	0.127	0.873	NotLovelyTED Ironically hoes are like condoms Theyre either on your dick or in your wallet Lol
163		non-aggressive	0.082	0.918	Video games with Brian Bryan and John arcadegames  Logan Arcade httptcoZTTAENSogS
164		non-aggressive	0.053	0.947	To much sweg to sleep
165		non-aggressive	0.048	0.952	I know youve been through more than most of us
166		non-aggressive	0.04	0.96	shonDERRS well not everyone can be worthy of what it has to offer I guess
167		non-aggressive	0.075	0.925	Trohnnn damn right
168		non-aggressive	0.075	0.925	Shits too real
169		non-aggressive	0.159	0.841	How do flame people when you cant handle a nose bleed
170		non-aggressive	0.042	0.958	9 hours 58 minutes eohcountdown singledigits
171		non-aggressive	0.095	0.905	happy birthday to my main bitch skn314 😘😜🍻🍻🍷 21
172		non-aggressive	0.077	0.923	All these green lights we are geting gtgtgt
173		non-aggressive	0.221	0.779	Pball17wh ME TOO OMG like i get so mad when people dont reply back with that
174		non-aggressive	0.025	0.975	tomorrows the day ive been waiting for all my life
175		non-aggressive	0.211	0.789	RamonANACTOR 😔 Im so sorry Mo Dont hate me 😳
176		non-aggressive	0.142	0.858	So to Foe ass fa bringing me sum to eat
177		non-aggressive	0.056	0.944	I Swear The Wrong People Be Catching My Subs
178		non-aggressive	0.047	0.953	leXxb3rries you know for sure that someone would kidnap us and put us in that thing and we would die
179		non-aggressive	0.102	0.898	briannaaab31 chanmastaflex Get a room
180		non-aggressive	0.037	0.963	1 bottle of wine pls
181		non-aggressive	0.073	0.927	What are you so afraid of
182		non-aggressive	0.126	0.874	Guys youd be really rad if you followed my British friend crxmpets
183		non-aggressive	0.055	0.945	Chicago  MyHometown  ThirstyThursday  girlsnightout  newbeginnings
184		non-aggressive	0.077	0.923	MzImDaShyt is we still going out Saturday bitchhh
185		non-aggressive	0.049	0.951	No new friends 👋
186		aggressive	0.585	0.415	If you fucked me over fuck you bitchhhhhhhhhhh✌️✌️
187		non-aggressive	0.099	0.901	You were my best friend and I feel like I dont even know you anymore 🙈
188		non-aggressive	0.021	0.979	jkJessKidding dudeeee I want to for the wedding and I hope I can I just graduate that same week haha
189		non-aggressive	0.032	0.968	I wish Wing Stop on 95th was still open
190		non-aggressive	0.042	0.958	I slipped up and got tackled lol 😁😂💪🏈🏈 httptco32QI1lyyZY
191		non-aggressive	0.026	0.974	Untangling the web of ideas in my mind
192		non-aggressive	0.141	0.859	KaeleighNoelle fine them down and then try to take them off
193		non-aggressive	0.287	0.713	You the type to run your mouth and then run from me💯
194		non-aggressive	0.037	0.963	I seriously dont know where all the food I eat goes 😂 I eat so much
195		non-aggressive	0.036	0.964	nataleewalker I definitely am lol
196		non-aggressive	0.087	0.913	Darling you you give but you cannot take love
197		non-aggressive	0.047	0.953	She officially make 4months in 57 minutes
198		non-aggressive	0.043	0.957	I dont think Ive ever been this excited to go to sleep
199		non-aggressive	0.07	0.93	Beep beep
200		non-aggressive	0.034	0.966	So excited to wake up at 630a tmrw Im not even being sarcastic
201		non-aggressive	0.063	0.937	LanaDelRey beautiful
202		non-aggressive	0.03	0.97	Why are all the men in Chicago PD so fine 😍
203		non-aggressive	0.045	0.955	That just made me happy and sad at the same time
204		non-aggressive	0.064	0.936	That was sarcastic btw
205		non-aggressive	0.054	0.946	Mallory is feeding me fried pickles with ranch and I feel like such a goddess dreamsweet666
206		non-aggressive	0.119	0.881	Maybe Im a little bitchy but lets be honest who isnt 💁
207		non-aggressive	0.05	0.95	Giant snow leprechaun chicago irish winter  Abbey Pub httptcowuFyrOndys
208		non-aggressive	0.085	0.915	Inc you guys at putting out awesome content lately
209		non-aggressive	0.032	0.968	brebotz happens to the best of us beb😏👅
210		non-aggressive	0.076	0.924	Lmao bruh RT“IllegalMessican Girls at my school lucky I cant eat their ass during class”
211		non-aggressive	0.064	0.936	shonDERRS omg that probably seemed so mean Im sorry
212		non-aggressive	0.086	0.914	Dari Thinks BestFriend👋😏 You Cool Asl nd Cute Talking 2 Yu Right Now But Yeah💯😈 AintUZay
213		non-aggressive	0.092	0.908	abesow thank you
214		non-aggressive	0.022	0.978	mmdgbartos RossJ BSchultz27 vape x swag  hair grease to the 6th intelligence  Damon
215		non-aggressive	0.068	0.932	Cuties are so fucking good
216		non-aggressive	0.085	0.915	Wasnt Shaquille Johnson with Clemson
217		non-aggressive	0.448	0.552	Whens this bitch gonna learn Whats mine is mine I dont like sharing YaSnoozeYaLose SorryBro HesMine  👫👌👍
218		non-aggressive	0.105	0.895	Hoes before bros 👭👯
219		non-aggressive	0.087	0.913	SirJakeOfMolina theyre more maroony in person but thank you 😊
220		non-aggressive	0.076	0.924	What does the fox say Shots shots shots shots shots shots shots shots shots shots shots shots shots shots shots
221		non-aggressive	0.092	0.908	Why I care so much only if you knew
222		non-aggressive	0.161	0.839	If you dont find that WWE phone prank video funny youre a faggot I never watched WWE in my life and almost died of laughter
223		non-aggressive	0.065	0.935	Life would be so easy if everyone just state their intentions right off the bat
224		non-aggressive	0.025	0.975	“LandaXOXO Why not end the night with a selfie Goodnight 😊 httptcoU1qVHDQZ23” WHY MY BFF SO CUTE 😍😍😍😍😍🍑✊
225		non-aggressive	0.033	0.967	My cat thinks its time to party hes playing a very dangerous game
226		non-aggressive	0.055	0.945	Im looking forward to next week👌😁
227		non-aggressive	0.078	0.922	I missed these talks 😊
228		non-aggressive	0.092	0.908	Bl0NNNDE thank you
229		non-aggressive	0.024	0.976	I need to go makeup shopping now
230		non-aggressive	0.078	0.922	Weve been talking about the future and time that weve wasted
231		non-aggressive	0.082	0.918	DaroooHim the video is called I Luh You PaPi
232		non-aggressive	0.068	0.932	Lmaoo ughhh httptcoRvcEOzHMTX
233		non-aggressive	0.063	0.937	94Krolo we gotta chill soon tho when the g gets back from the shop Ill prolly cruise out there or some shit
234		non-aggressive	0.092	0.908	daviesabbey thank you
235		non-aggressive	0.068	0.932	My finger really hurts that I cant even move my thumb
236		non-aggressive	0.011	0.989	2020 OMG youre so pretty and nice and amazing at field hockey but we should talk more and hangout sometime
237		non-aggressive	0.093	0.907	CezarGumma1 cut ur hair man
238		non-aggressive	0.053	0.947	When people comment on something then delete it 3 seconds later
239		non-aggressive	0.035	0.965	Temperature rise Also raises sad question Will violence too  Chicago haiku  ChiKu 72
240		non-aggressive	0.1	0.9	Seriously dont even know how to deal with this
241		non-aggressive	0.053	0.947	tnwhiskeywoman 😟 could be Good luck
242		non-aggressive	0.045	0.955	So until I got the same crib Big had in that juicy vid I cant motherfuckin stop moving
243		non-aggressive	0.138	0.862	if you want a girl to know what you want then you have to show it to her
244		non-aggressive	0.052	0.948	liamdonahue18 o i just finished these scholarship essays the ither day
245		non-aggressive	0.026	0.974	Didnt realize how pathetic my 1 time theatre career was until I typed it out httptcokWUZWvWfVB
246		non-aggressive	0.057	0.943	Part of American Hustle reminds me of my life lbs
247		non-aggressive	0.071	0.929	AlysaJulianne love you boo
248		non-aggressive	0.044	0.956	going to a supposedly haunted place with Alexis is on my bucket list ngl
249		non-aggressive	0.068	0.932	CALL  7736573341 ONLY4THEREAL RADIO AND REQUEST PRINCE VON CALL UP ANOTHER HOE
250		non-aggressive	0.029	0.971	jkJessKidding June 10th is the actual ceremony
251		non-aggressive	0.069	0.931	akeener22 something
252		non-aggressive	0.07	0.93	AdamKirk23 subtweetin
253		non-aggressive	0.072	0.928	Tummy hurts
254		non-aggressive	0.044	0.956	Dayton for st Pattys day 🍀🍀🍀🍀🍺🍻🍻🍻🍻
255		non-aggressive	0.087	0.913	When someone tells you we need to talk I instantly have a mini heart attack and think the worst possible thing they could say 😳
256		non-aggressive	0.087	0.913	iamkittynastee if we send em out this year I promise youll be on the mailing list as long as you promise Im on yours
257		non-aggressive	0.071	0.929	Tweeting just to make eachother mad
258		non-aggressive	0.07	0.93	You can go ahead and scadaddle on outta here
259		non-aggressive	0.045	0.955	Jay Kay Im in need of a few to get throughthe end of the year  lmfao
260		non-aggressive	0.061	0.939	bowlofaustin hell yeah Bout to be a good weekend
261		non-aggressive	0.068	0.932	Somebody just lucked up
262		non-aggressive	0.051	0.949	LukeODonnell45 Saturday night
263		non-aggressive	0.485	0.515	Like if you wanna be friends fuck buddies or something real let them know The guessing game isnt needed
264		non-aggressive	0.117	0.883	Never did I wanna be here again and I dont remember why I came
265		non-aggressive	0.07	0.93	Its like youre asking to be kicked out of my lifeagain
266		non-aggressive	0.039	0.961	And now I get to drink the milk
267		non-aggressive	0.36	0.64	Om sliding shoulder fuck you
268		non-aggressive	0.07	0.93	Whats all those sirens about
269		non-aggressive	0.075	0.925	kshepherd13 it will happen
270		non-aggressive	0.056	0.944	Literally I could talk about anything with these girls lol mramirez5 abbykayyy
271		non-aggressive	0.045	0.955	Trohnnn I gotta agree with ya there I can listen to it all day
272		non-aggressive	0.067	0.933	Hey RT OtterEmergency Hey there httptco4Z7sPU5kVi
273		non-aggressive	0.029	0.971	Just finished watching The Road to Ferrari  Well done willbuxton Fiat500
274		non-aggressive	0.037	0.963	Thanks to everyone who made today an awesome day 👍
275		non-aggressive	0.381	0.619	Is this lame ass nigga subbin me
276		non-aggressive	0.019	0.981	inkdsamm lmao I feel like a mean girl But Im just so confused
277		non-aggressive	0.071	0.929	daniinicole16 Bring it httptcoLcCRzOapdx
278		non-aggressive	0.023	0.977	I want my sister mlehman22 to come home 👭
279		non-aggressive	0.065	0.935	Goodnight guys 😘
280		non-aggressive	0.041	0.959	Im sipping good so please dont worry bout whats in my cup 😝🍷😋
281		non-aggressive	0.058	0.942	Work tomorrow
282		non-aggressive	0.037	0.963	“FLIRTATIOUS Why yes I do lift 😏 httptcoIjtxvRksGw” she wont let me tho 😒😩
283		non-aggressive	0.065	0.935	leXxb3rries you act as if people go around that thing all the time if something was called the gates of hell I would stay away lmao
284		non-aggressive	0.085	0.915	Aint did a music feed ina couple days Being busy is fun tho
285		non-aggressive	0.061	0.939	Full Name Madisyn Faith Sharrock gay name Age15  Interests Soccer amp eating  Hmu  😂😂
286		non-aggressive	0.057	0.943	Making and eating tacos and then noticing a gold mind of stolen TacoBell hot sauce on the counter afterwards
287		non-aggressive	0.172	0.828	I dont need to play games or act like a child anymore I need to know where Im headed and how Im gonna get there
288		non-aggressive	0.075	0.925	I beat segall cuz hes a pussy
289		non-aggressive	0.039	0.961	Play this at my wedding httptco1X5JvHbwS0
290		non-aggressive	0.066	0.934	shonDERRS omg please do
291		non-aggressive	0.051	0.949	Of course its gonna be nice out tomorrow and Im gonna be stuck at work 😢
292		non-aggressive	0.168	0.832	SincerelyTumblr THIS IS WHY U DONT SMOKE WEED httptcoCboym3UGxy Im dying rn
293		aggressive	0.773	0.227	Yo bitch aint faithful she fucking ha ex nigga while tomorrow taking couples pics with her next nigga
294		non-aggressive	0.033	0.967	I have like the ideal day planned out in my head and I really hope it happens once during my life
295		non-aggressive	0.075	0.925	You can be so lost                                   and                                                           so found
296		non-aggressive	0.117	0.883	AnyaLasagna27 haha your mom hates me
297		non-aggressive	0.066	0.934	ljohnxo raises hand thirstily
298		non-aggressive	0.096	0.904	KaylaDenise19 is your name homework
299		non-aggressive	0.056	0.944	Jayveri happy birthday boo 😘
300		non-aggressive	0.084	0.916	I hate being the young friend 😔
301		non-aggressive	0.103	0.897	lindsayycate bring me some then boo thang
302		non-aggressive	0.02	0.98	106 miles to Chicago we have a full tank of gas 12 pack of cigarettes its dark and were wearing sunglasses HIT IT
303		non-aggressive	0.057	0.943	allyheartsyouu happy birthday 😊
304		non-aggressive	0.072	0.928	Zeionvsdeion and north western won over Iowa
305		non-aggressive	0.102	0.898	“totalfratmove Asking kids in your class how much they studied so you know who to sit next to during the exam TFM” also me next week
306		non-aggressive	0.464	0.536	Niggas buy followers amp shit foh lame 👋😒
307		non-aggressive	0.057	0.943	GWSunshine27 lets do that dance  😻
308		non-aggressive	0.081	0.919	BayleeeeeNicole love you more sugarrr
309		non-aggressive	0.4	0.6	When mfs look at yo baby pics and jokingly says aww you were soo cute what happened Bitch I got sexy thats what happened 😎😂
310		non-aggressive	0.066	0.934	He said the police will get him lmao
311		non-aggressive	0.127	0.873	NIGGA WE MADE IT
312		non-aggressive	0.061	0.939	hugegaldones we loved Senza Great people too
313		non-aggressive	0.083	0.917	ginarina10 Im with Jason and Liz Awwwkkkwarrrrdddddd
314		non-aggressive	0.074	0.926	Dari Thinks Mhmm Ion Know Bro😂😂💯 ArrogantBubba
315		non-aggressive	0.033	0.967	“lexirenae I know I miss you Jowwdann 😊” Missed you so much Lexi Lou
316		non-aggressive	0.06	0.94	New band name Three Dollar App
317		non-aggressive	0.045	0.955	“NicolasHenkel So inspirational httptcoVfIi6vCr8J” SHOWING HIS TRUE SELF😢
318		non-aggressive	0.049	0.951	jkJessKidding I think thatll be my plan 😘😘
319		non-aggressive	0.121	0.879	MzImDaShyt nawl cause ERTIME she call me her phone get to tweaking but wen she call back ima tell her Frfr I wanna gooo
320		non-aggressive	0.076	0.924	dudejoanna youre welcome
321		non-aggressive	0.015	0.985	Im at Little Goat  stephandthegoat Chicago IL w 4 others httptcoZ7hLwk35Ot
322		non-aggressive	0.026	0.974	Normally only here on the weekends but its a special kind of day  The Flat Iron httptcoho0gOFIjqP
323		non-aggressive	0.045	0.955	Last day of swimming tommorow🙏
324		non-aggressive	0.037	0.963	Cant say Ive studied for any of my tests tomorrow
325		non-aggressive	0.036	0.964	JohnnaayyBoyy but i have so much history boyyy  😭
326		non-aggressive	0.161	0.839	youre attracted to every girl its hilarious dont even try to talk to me ever again
327		non-aggressive	0.048	0.952	ladygaga on jimmykimmel  ♥♥♥ love them both ♥♥♥  JimmyKimmelinAustin
328		non-aggressive	0.06	0.94	MissAmakerLee I never have these problems Haha
329		non-aggressive	0.004	0.996	Had a couple of drinks tonight and the good thing is that I wasnt in my wheelchair so I didnt run into any walls like I did last night
330		non-aggressive	0.144	0.856	DestinyJadai secret safe with you 😳
331		non-aggressive	0.032	0.968	My grandma was so beautiful httptcoMEYKy7Mmye
332		non-aggressive	0.043	0.957	I could tell it was sincere without trying to prove it
333		aggressive	0.519	0.481	“akalaaame Nigga fuck u” damn ight 😔
