id	label	prediction	aggressive_probability	non-aggressive_probability	text
48		non-aggressive	0.039	0.961	TransUnion Intern  Chicago  IL httptco7LWJNwrAYq internship Job Jobs TweetMyJobs
49		non-aggressive	0.039	0.961	TransUnion Intern  Chicago  IL httptcohAbbvUYFts internship Job Jobs TweetMyJobs
50		non-aggressive	0.065	0.935	We got blunts
51		non-aggressive	0.195	0.805	zhanegorgeous Fuck School and Fuck yo baldhead Asslol
52		non-aggressive	0.063	0.937	Im ready to gooooo home 😩
53		non-aggressive	0.039	0.961	I love kiwi even MORE  😍
54		non-aggressive	0.065	0.935	audioinjection perception and reality
55		non-aggressive	0.049	0.951	I wish it was this time Monday because I have Tuesday off
56		non-aggressive	0.03	0.97	tunam3lt tomorrow is our 2 and 12 year anniversary loveAndStuff
57		non-aggressive	0.116	0.884	What Matters the most to me might not matter at all to you
58		non-aggressive	0.047	0.953	Just posted a photo  Chicago httptcoVDqA4N3lhD
59		non-aggressive	0.041	0.959	I cannot even contain my excitement for TheGrandBudapestHotel
60		non-aggressive	0.121	0.879	None of that is true I hate you MullenEvan
61		non-aggressive	0.058	0.942	went to bed cute woke up cute
62		non-aggressive	0.169	0.831	BryceBantz17 you stop that 💋
63		non-aggressive	0.023	0.977	Where am I supposed to find a book bag at this time of year 😂😭
64		non-aggressive	0.048	0.952	T mobile is raising my blood pressure
65		non-aggressive	0.146	0.854	I dont understand why some Americans are more worried about equal rights than fixing the economy Are you kidding
66		non-aggressive	0.035	0.965	graemelesaux14 thanks For the reply Graeme Ive tweeted him too
67		non-aggressive	0.064	0.936	DevinnElizabeth come over sooon okay😘
68		non-aggressive	0.047	0.953	People waiting in a terminal gate that talk way too loud on the phone would like them to receive a Tyson right hook to the beak
69		non-aggressive	0.044	0.956	My Friday has been made😌
70		non-aggressive	0.054	0.946	This is my awesome buddy Jon owner of AkiraChicago a goodman a great host who throws some of… httptcor4qkFINeHY
71		non-aggressive	0.044	0.956	Making this poster  Its about to be 🔥
72		non-aggressive	0.039	0.961	Ciaras album Goodies is pretty much everything I care about right now and forever
73		non-aggressive	0.088	0.912	nikehoopstar23 yea im tryin to get a better record
74		non-aggressive	0.039	0.961	i think its so cute when little kids strut around after they get a quarter or a dollar bc they think its a lot
75		non-aggressive	0.031	0.969	Ooh I feel sick😷🙉
76		non-aggressive	0.069	0.931	Chase vscocam  Chase Tower httptcol4AKwtfKfm
77		non-aggressive	0.197	0.803	Reality check it IS a real issue for people RT TheNextMartha Food intolerances are real  Stop being an asshole httptco8vO1aC3fzG
78		non-aggressive	0.035	0.965	sonofKaren Sudsofanarchy Im on my way home now
79		non-aggressive	0.141	0.859	White girlssss gone wildd we dont judge em tho they aint on trial
80		non-aggressive	0.087	0.913	FATBOYONDECK74 my first cd put out when I was a youngin thats me upper left httptco5ODs347QJe
81		non-aggressive	0.123	0.877	How do u make food
82		non-aggressive	0.019	0.981	Asherzz831 I found another pair of sweats and another pair of yoga pants in my bag 😍😂🙌🙌
83		non-aggressive	0.057	0.943	justrozayy oh well why not rose 😂
84		non-aggressive	0.06	0.94	Prettytone is taking me to Olive Garden 💗💗💗
85		non-aggressive	0.07	0.93	S000000annoying
86		non-aggressive	0.049	0.951	Drivers in this city are pure shitlords
87		non-aggressive	0.051	0.949	I wanna get my hair cuttttt
88		non-aggressive	0.013	0.987	polomex 3 is my limit too I need a week or 2 to do a season
89		non-aggressive	0.051	0.949	Push up peekaboo and horse riding all in 1 💪 with my babies Show me how U move letsmove MichelleObama letsmove httptcoESI8zDDtrR
90		non-aggressive	0.339	0.661	If you dont put TP on the seat in a public bathroom that is fucking gross
91		non-aggressive	0.05	0.95	sim54gar It can start there heck yeah But w the passing fad going on locking down wideouts and getting coverage sacks works too
92		non-aggressive	0.042	0.958	Thank god ya blew it and thank god I dodged the bullet
93		non-aggressive	0.304	0.696	“YABOYLILB bitches be like Im a virgin httptcoBNqpZXpp3L”😂😂😂😂
94		non-aggressive	0.097	0.903	Tell me what you want What you really really want I aint got time if you think youre in love with me So tell what do you want from me 🙌
95		non-aggressive	0.021	0.979	BigGuwap on my way to the barber shop wbu
96		non-aggressive	0.052	0.948	kingleirua thanks boo☺️miss ya Hope youre being good💋
97		non-aggressive	0.075	0.925	If I REALLY start speaking my mind feelings will be hurt 😒
98		non-aggressive	0.083	0.917	Stoneypatrick what up dood
99		non-aggressive	0.074	0.926	I dont have time for games anymore
100		non-aggressive	0.155	0.845	the nicest people are always the ones who get treated the worst
101		non-aggressive	0.053	0.947	Im at RubyofSiam w typeis4lovers httptcoIfeYJJaMqS
102		non-aggressive	0.117	0.883	merylparks wait you were
103		non-aggressive	0.04	0.96	Finna get ready to go to the nail shop
104		non-aggressive	0.043	0.957	Figured it out I am my own perfect match AreYouTheOneMTV truthbooth
105		non-aggressive	0.018	0.982	ps I work from 15 so come visit me actually please please please
106		non-aggressive	0.012	0.988	Its only been a week but it feels great to be back in chicago for a day
107		non-aggressive	0.027	0.973	Busy at ChickfilA w 4 others httptcomtXMTkLncQ
108		non-aggressive	0.05	0.95	Picking up Mr Chickees Funny Money before Sundays show  Chicago Public Library pic httptcog1hpQuExg5
109		non-aggressive	0.029	0.971	CH1EFQUEEF it works this is why i only hang out with guys under 510
110		non-aggressive	0.038	0.962	AsiiaTheColdest no I use beef for chili and hamburgers but I wont eat steak and Italian needs thats nasty
111		non-aggressive	0.045	0.955	valeriexoxo69 Sometimes I wonder if its normal to be so happy like everyday
112		non-aggressive	0.06	0.94	ashclendenny8 pick me Pick me I wanna go too 🙋🙋🙋🙋
113		non-aggressive	0.148	0.852	Got better thinks to worry about 😅 Not Finna Get Mad Or Nun
114		non-aggressive	0.048	0.952	ToeKneee good look bro
115		non-aggressive	0.031	0.969	sim54gar youre right though Id prefer DTs with talent so secondary doesnt have to work as hard as opposed to the other way around
116		aggressive	0.567	0.433	Shayetacular Wtf is you following me fa  Bitch do u wanna fight or sum
117		non-aggressive	0.202	0.798	Do Me A Favor When You Leave Dont Come Back 🙅👞🚪 Dont Send That I Miss You Shit Delete My  All The Messages💬 amp Pictures✌️😒
118		non-aggressive	0.058	0.942	Its cold down here ❄️
119		non-aggressive	0.057	0.943	Happy Birthday friesxo 😘😘👌 httptcovxa8ETHDTs
120		non-aggressive	0.096	0.904	BassoonJokes a bag made out of his hair and filled with bitcoins is what I heard
121		non-aggressive	0.032	0.968	World Bank Delays 90 Million Loan To Uganda As Bank President Blasts AntiGay Laws httptcoSHBnOrrpv3
122		non-aggressive	0.134	0.866	Celebrities should start donating blood like could you imagine having the blood of Abel running through your veins omg
123		non-aggressive	0.057	0.943	keg3232 Thanks
124		non-aggressive	0.036	0.964	nickelgallo did I NOT JUST DO THIS
125		non-aggressive	0.059	0.941	Just downloaded country living 🙈
126		non-aggressive	0.075	0.925	This life I live it might not be for you but its for me though
127		non-aggressive	0.067	0.933	Yay Im not as behind as I thought nottheonlyons
128		non-aggressive	0.106	0.894	You win this time Panda Express httptcoXkrRQBZUeg
129		non-aggressive	0.034	0.966	OMG remember when ARobzzz could name all the kids in 19 kids and counting 😂😂😂
130		non-aggressive	0.056	0.944	Play wit my Feelins I have you tied up in my trunk😤😤😤
131		non-aggressive	0.049	0.951	My babe fell asleep on me 💕💤😍 httptcorKGAKVrdW1
132		non-aggressive	0.146	0.854	BigGuwap u aint have school
133		non-aggressive	0.063	0.937	Friday morning classes lord help me
134		non-aggressive	0.081	0.919	JGarza145 bruhshes queen b
135		non-aggressive	0.043	0.957	About to get my hair in individuals 😁🙌
136		non-aggressive	0.034	0.966	JacobWhitesides I wish tickets didnt sell out so fast 😔
137		non-aggressive	0.143	0.857	I wanna reconnect with old friends but I realized most of them are douchebags now and I dont care
138		non-aggressive	0.255	0.745	Fuck Im here till 6 and I dont got a charger 😕
139		non-aggressive	0.043	0.957	Judging from that ratio shes not to fond of following bck 😥
140		non-aggressive	0.114	0.886	Im done hitting up people
141		non-aggressive	0.038	0.962	Jordans mom is so cute 😃🙊✨
142		non-aggressive	0.029	0.971	I want my car back 😩
143		non-aggressive	0.014	0.986	Im at Chicago Midway International Airport MDW Chicago IL w 70 others httptcoNyr0jODW8M
144		non-aggressive	0.119	0.881	If you ever think about quitting just remember why you started 💯
145		non-aggressive	0.04	0.96	Hail to the orange Hail to the blue Happy birthday U of I IllinoisAlma
146		non-aggressive	0.051	0.949	The speakers are broken in the airport so it sounds like a cyborg is yelling at me
147		non-aggressive	0.044	0.956	“GoogleGallery Threw himself in front of a grenade to save his best friend httptcoT8o0vrt40q”
148		non-aggressive	0.022	0.978	The only bad thing about Chicago deep dish pizza is that it takes an hour to bakehungry
149		non-aggressive	0.037	0.963	Eagles taking a big lead to round out the first inning Up 50 USIBaseball
150		non-aggressive	0.077	0.923	TothZac Shut up
151		non-aggressive	0.064	0.936	BigGuwap imma probably be on something later
152		non-aggressive	0.027	0.973	Ive never been so sick in my life 😒 httptcoy0OzyciERR
153		non-aggressive	0.037	0.963	Ill just use one from the store 😏
154		non-aggressive	0.047	0.953	Pspunch hey there I think Ill play on a WI team tournament this year instead  That will be a new experience
155		non-aggressive	0.03	0.97	ErinBScala looking forward to having dinner  musketroom on Tuesday night
156		non-aggressive	0.045	0.955	alexismalexis5 its a hot selfie you took 😘👍 lol love you too
157		non-aggressive	0.071	0.929	New drama everyday😳
158		non-aggressive	0.038	0.962	Sometimes I get pretty sick of being a girl in this city
159		non-aggressive	0.071	0.929	Thats Crazy Dont Want Let Us In The Assembly
160		non-aggressive	0.07	0.93	Selfie game too strong httptcoO32xt0E7S3
161		non-aggressive	0.037	0.963	yaGuRlKriZtin I love you ❤️❤️❤️❤️ trying to find a ride to Lincoln for the weekend
162		non-aggressive	0.076	0.924	KNags dontcaraboutu thats an awesome deal
163		non-aggressive	0.063	0.937	keg3232 please send Bai the pin too Im having some problems with my Pinterest acct
164		non-aggressive	0.036	0.964	I thought I got off at 1 😑
165		non-aggressive	0.085	0.915	CCmBelmont there is still half a pint of Ben and Jerrys waiting for you when youre done 🙌 goodluck muchlove
166		non-aggressive	0.023	0.977	On the way to Nashville Is it weird that when the Dougie comes on all I can think of is Detroit MayorMikeDuggan TeachMeHowtoDuggan
167		non-aggressive	0.066	0.934	catlady5evr an hour away 😄
168		non-aggressive	0.052	0.948	I hold onnnnn
169		non-aggressive	0.089	0.911	Hold me closer Toooony Daaanzaaa
170		non-aggressive	0.174	0.826	Makes me mad seeing how Walter white turned out
171		non-aggressive	0.07	0.93	emails about checking waiting to be picked up gt
172		non-aggressive	0.06	0.94	I really like that burlesque movie though
173		non-aggressive	0.03	0.97	Getting ready for this masquerade ball tonight Im def gonna wear some of the same ish I wore to that Gala last year
174		non-aggressive	0.049	0.951	ImCravingFood Bacon Roses 👌 httptcoUOuiEQe2XC imma make this and give it to you cause I love you sammidanczuk
175		non-aggressive	0.041	0.959	Yeah this pretty much sums up the night httptcok9IMW90iT6
176		non-aggressive	0.057	0.943	I said Im so staticky today and Allisonpaige3 says Like happy static or hair static  I think you meant ecstatic Allison 😂😂
177		non-aggressive	0.114	0.886	suzigordon you are strange 😔
178		non-aggressive	0.052	0.948	EReid35 probably has the most bad ass profile pic Ive ever seen 😱👌🏈 49ers
179		non-aggressive	0.284	0.716	If my parents make one more comment about my fucking septum someones genitals are coming off
180		aggressive	0.557	0.443	They dont fuck with you cuz i dont fuck with you 💯
181		non-aggressive	0.048	0.952	TreyGetsIt sim54gar AaronLeming Hell yes true Ive just wanted a S Bears draft amp develop that is staple of organization A beast
182		non-aggressive	0.031	0.969	Yea Donuts amp Coffee to go  City Dough httptcoZ4dm1bcjrY
183		non-aggressive	0.137	0.863	Sicker than your averageliterally This throat is killing me
184		non-aggressive	0.107	0.893	Holy shit our band is good
185		non-aggressive	0.046	0.954	BNabozny yeaIm so pumped 😑😑😑 just kidding im not At all
186		non-aggressive	0.016	0.984	Im at Costco Wholesale Chicago IL w 2 others httptcoHzuGILTpT4
187		non-aggressive	0.086	0.914	Someone always calls me Ediffff or Editttttth 😒
188		non-aggressive	0.17	0.83	People watching FYI your car does not make you invisible  I can see you picking your nose knuckledeep httptco32hWTrqr2L
189		non-aggressive	0.041	0.959	“alexking116 Is it hot in here or is it just Mr Dietz 😍🔥” OliviaDesgrange 😂😂😂
190		non-aggressive	0.04	0.96	AuxierVerzani AndreaSnider 6degreesofselfie Maybe we can hang with Kevin Bacon httptcoeU4d5abIeA httptcobrfARNLg2t
191		non-aggressive	0.063	0.937	well if I cant straighten my hair httptcoWptIBNeHz9
192		non-aggressive	0.034	0.966	My friend got Aids from a dude in JobCorp She couldnt do none about it Cause Sexual Intercourse is against the rules
193		non-aggressive	0.07	0.93	emails about checks waiting to be picked up gt
194		non-aggressive	0.07	0.93	Tryna See Tho
195		non-aggressive	0.047	0.953	The exhibition at travellechicago  Travelle httptcoV8bGkqEgQw
196		aggressive	0.553	0.447	You knw a bitch be stalking when dey make a MISTAKE amp follow you 😂😩 Fck on hoe ✌️
197		non-aggressive	0.054	0.946	straightGxo I do
198		non-aggressive	0.062	0.938	SammMariee9419 you about killed us when we went to holiday world haha
199		non-aggressive	0.033	0.967	Cleveland has to be the worst sports town Browns Indians and Cavs lol Terrible
200		non-aggressive	0.029	0.971	Timjob1 yeah lol driving drunk is hilarious good one hahah high five sodumb
201		non-aggressive	0.019	0.981	heading back home  Chicago OHare International Airport ORD w 188 others httptcocV6ELNLunC
202		non-aggressive	0.029	0.971	queenyasmeeen Ive heard that way too many times  maybe its time for some reform
203		non-aggressive	0.06	0.94	kamm51 Im in the same predicament I just got my first one so Im hoping to get out of it but idk if I wanna pay amp lose
204		non-aggressive	0.066	0.934	The things Allisonpaige3 says sometimes httptcolSIT9Xa4zW
205		non-aggressive	0.092	0.908	Dont say I never gave you anything 33msherwood 😏 jackwagon
206		non-aggressive	0.033	0.967	I see why everyone gets pissed when Dmia plows them over in gym Holy cow my back hurts
207		non-aggressive	0.031	0.969	Im at County Fair Foods Chicago IL httptcoEzZw6aOxil
208		non-aggressive	0.089	0.911	I swear parents act like they werent teenagers before
209		non-aggressive	0.037	0.963	I want to get home and sleep 👏
210		non-aggressive	0.079	0.921	Well That Chemistry final just fucked me 😕
211		non-aggressive	0.035	0.965	“UberFacts Today is National Pancake Day httptcoP0pjhsVdwp” ImmaFarmer 😍😍🙌🙌
212		non-aggressive	0.037	0.963	Assignment due at 9 pm and all forms of wifi on this bus hate me solid 😅
213		non-aggressive	0.084	0.916	Sticks and stones may build a throne but youll be up there all alone
214		non-aggressive	0.02	0.98	Ready to go home get my homework done for the weekend and sleep
215		non-aggressive	0.044	0.956	must see jordan and t cook tonight
216		non-aggressive	0.14	0.86	“WhoaWhosThat That one friend that makes you laugh even when you dont want to 😂😂😂😂 httptcoXi7AQR5xVW” ChiraqMarley lmfao
217		non-aggressive	0.069	0.931	KyleBrown07 I could say the same for you
218		non-aggressive	0.053	0.947	see you in 10 days Mexico 😎🍹
219		non-aggressive	0.087	0.913	nicklebackluvr ur not the only one httptcoI0T9jTfEOG
220		non-aggressive	0.14	0.86	“ashleywoood RallyAlly1 😭😭😭😭😭👏👏👏👏” are you like happy or
221		non-aggressive	0.044	0.956	Just packed up a bunch of linens that Im not using currently It feels good to be cleaning up my life
222		non-aggressive	0.08	0.92	Gonna be eating  with da GASN clan today JoeReid opticna jeffreyuhl
223		non-aggressive	0.027	0.973	Coffee makes my day so much better
224		non-aggressive	0.079	0.921	aaronbegle 😳 Im totally judging
225		non-aggressive	0.036	0.964	I was such a fag in the 8th grade
226		non-aggressive	0.055	0.945	Lmao gt httptcoKEeXlZYDXA
227		non-aggressive	0.124	0.876	You can give a joke but you cant take a joke
228		non-aggressive	0.009	0.991	straightGxo I never had problems until it went under my skin 2 years later I think its only bc certain jeans would dig under it
229		non-aggressive	0.11	0.89	How bout them cowgirls
230		non-aggressive	0.18	0.82	“Calum5SOS If Theres somethin strange in your neighbourhood who ya gonna call” The campus police most likely
231		non-aggressive	0.065	0.935	“IntThings Amazing bunk beds And a awesome idea to use space to maximum httptcoKZNAKJT0KF” squeakers youre new bed
232		non-aggressive	0.057	0.943	LoveTexts And most of all enjoy each others company
233		non-aggressive	0.054	0.946	Wheres cutoff in the middle of winter TFM totalfratmove earndatdough httptcohnTGbudt8W
234		non-aggressive	0.054	0.946	Selfie game so strong httptcoxHKJ7oVh4j
235		non-aggressive	0.023	0.977	I woke up this morning and told myself This battle is not yours its the Lords  ♥
236		non-aggressive	0.057	0.943	Next weekend gtgtgt
237		non-aggressive	0.1	0.9	There are 22 countries in total that England never invaded in the entire world Dudes were some bosses running shit Absolutely astounding
238		non-aggressive	0.033	0.967	“gottaGab Prolly gonna get Jimmy Johns bc Im too lazy to go to the dining hall” My life in a tweet
239		non-aggressive	0.062	0.938	httpstwittercomusplabsstatus439466051726610432 RT NOW
240		non-aggressive	0.015	0.985	Spring Break 2014 Looking at places in tumblr that I wanna go Turn up
241		non-aggressive	0.029	0.971	Drinking a Chicago Smoke by revbrewchicago at revbrewchicago — httptcomgezDcRFI1
242		non-aggressive	0.04	0.96	Yes NickLachey firstcrush dove 98degrees httptcoyHonQoZg4Q
243		non-aggressive	0.162	0.838	straightGxo they dont hurt tho get em
244		non-aggressive	0.055	0.945	AlexisBreann stop being lazy and go to the gym
245		non-aggressive	0.044	0.956	I wake up every day feeling worse 😪
246		non-aggressive	0.071	0.929	Liquid lunch  levitt juicery httptcoPISJJFL77e
247		non-aggressive	0.283	0.717	I gotta fucking attitude amp Mfs texting me on some bullshit  pissing me Df off
248		non-aggressive	0.053	0.947	Im at ThoughtWorks w peepeestory httptcoKJ9Zi47XvP
249		non-aggressive	0.018	0.982	I could become an aunt to a beautiful baby girl tonight and Im on my way to Ohio Whyyyy 😩
250		non-aggressive	0.029	0.971	Awks didnt bring paper to class Already in that spring break mindset
251		non-aggressive	0.055	0.945	Why are Chinese people so scared of black people
252		non-aggressive	0.037	0.963	Sorting the mail at work gives me too much time to think
253		non-aggressive	0.055	0.945	Abasnail98 is cute httptcowv6X3JWMT2
254		non-aggressive	0.049	0.951	Ms  Green Going On The Students
255		non-aggressive	0.025	0.975	Omg suse house is dope I feel like Im in heaven
256		non-aggressive	0.015	0.985	thedagemahal Im so far from it now I want to but Im living in mount greenwood now 😐
257		non-aggressive	0.036	0.964	Cried so hard I threw up n now my tummy hurt Hope my peanut is ok
258		non-aggressive	0.187	0.813	Lmao deja pls stop trying to get me to date your coworkers
259		non-aggressive	0.02	0.98	Did you find everything ok Ill tell you what I did find amazing deals  a convo I had 2 days ago with a sweet woman at tj maxx
260		non-aggressive	0.057	0.943	Paid N FullOr Juice Idk Which One To Watch 😎
261		non-aggressive	0.037	0.963	3weeks till vacation with my boys  beachbabe comingsoon WiteMxcno
262		non-aggressive	0.107	0.893	riennenicole 😂you know I got you😘 and you will Ill get with you when I come home Ill come visit you
263		non-aggressive	0.147	0.853	straightGxo where r u going to get em done
264		non-aggressive	0.083	0.917	RT jenodaniel The best relationships happen when you least expect them is such a true statement
265		non-aggressive	0.027	0.973	MsTeagan did I see that youre coming back to Silk Milwaukee soon
266		non-aggressive	0.087	0.913	I have a friend for you
267		non-aggressive	0.086	0.914	jmoore123 yeah I will rn cause snook gave me an addressss 😊
268		non-aggressive	0.066	0.934	Yareliixo Aye I need to talk to you
269		non-aggressive	0.058	0.942	My legs look like I got attacked😑
270		non-aggressive	0.056	0.944	My life might as well be work get drunk wake up repeat No fucks even given
271		non-aggressive	0.018	0.982	Its 28 degrees the sun is out and theres basically no wind so you bet your sass I got my Starbucks iced today
272		non-aggressive	0.04	0.96	Going to see machinegunkelly April 12th with beezymercury and JakeMullins4L We about to get wild boy
273		non-aggressive	0.019	0.981	I miss the Cudi from Cleveland is the reason and daps and pounds
274		non-aggressive	0.052	0.948	notlimahx come out of the house njgga
275		non-aggressive	0.08	0.92	AdrienBroner make it happen
276		non-aggressive	0.042	0.958	Was I written down for a black or blue trifold
277		non-aggressive	0.074	0.926	And shes dying laughing stop it lmao
278		non-aggressive	0.021	0.979	Good luck to my besties domiedavis3 and Cierraadavis11 and the rest of the Bravettes  love you girls
279		non-aggressive	0.074	0.926	If they can breathe then they can lead souls into the Fathers love
280		non-aggressive	0.162	0.838	If you been talking  dating for someone for a week or two I dont wanna see that I love you bs or you crying over the mf already
281		non-aggressive	0.101	0.899	“JoshGotti Danielle dont listen at all”😩
282		non-aggressive	0.065	0.935	Tired Tired Very tired
283		non-aggressive	0.027	0.973	At the car shop getting my oil changed
284		non-aggressive	0.096	0.904	Work already hates you 😂
285		non-aggressive	0.067	0.933	Point made 😒
286		non-aggressive	0.039	0.961	Relationship status Oh sweet a textoh its just my bank notifying me of my balance verysingle
287		non-aggressive	0.08	0.92	My teacher finna  drop me off at work thank god
288		non-aggressive	0.084	0.916	CrewZayy Ill be there
289		non-aggressive	0.046	0.954	If youre looking for the worst shopping experience of your life I would recommend going to the jewel on Berwyn and broadway
290		non-aggressive	0.017	0.983	Hahaha JenkDaddy I had to Its too good to not permanently be on social media 😆😆 httptcoyS5sHsxZ2c
291		non-aggressive	0.048	0.952	comcast I get it you will be here between 1 and 3 You have called me 5 times in the last 2 days to tell me
292		non-aggressive	0.009	0.991	Ive been in rehearsal performance or both for ten months My 4th consecutive show closes Sunday I wonder whats next
293		non-aggressive	0.013	0.987	Oh good lord just did part of a sexual health demo for class at my internship and the amount of cartoon penises that popped up unreal
294		non-aggressive	0.193	0.807	You change your mind like a girl changes clothes
295		non-aggressive	0.094	0.906	I have two tests next week and Im ready nigga
296		non-aggressive	0.091	0.909	GodDamnGram Cause you all went to Harlan
297		non-aggressive	0.103	0.897	When you and a guy stare at each other every week you do something about it right
298		non-aggressive	0.057	0.943	Two papers due next week too
299		non-aggressive	0.053	0.947	Its never going to warm up
300		non-aggressive	0.16	0.84	Tonna said if you aint on the list you gotta hit it 😂😂😭😭😫😫
301		non-aggressive	0.054	0.946	11KOLoso1 bro I was like walking towards two Chinese people and they all of a sudden started walking fast and stuff
302		non-aggressive	0.044	0.956	I bought the cutest SupportTheCure phone case yesterday 😍💗💗💗
303		non-aggressive	0.081	0.919	Yiy yiy yiy this Cody doesnt want to make a twitter how rude
304		non-aggressive	0.047	0.953	Richie Incognito on Ferrari baseball bat attack Just me venting It appears the Miami Dolphins bullying httptcocyvQ4GnwTh
305		non-aggressive	0.217	0.783	Did you bitches forget its da weekend  clubs amp shit CRACKING  Ion be giving af where i see bitches at 😩😂👊
306		non-aggressive	0.045	0.955	Steinberg New Play Award finalists announced The six finalists for the Harold and Mimi SteinbergAmerican httptcoW4nKdtLqib
307		non-aggressive	0.046	0.954	Watching Pineapple Express My day off just got awesome
308		non-aggressive	0.047	0.953	Bears resign cornerback Kelvin Hayden The Bears on Friday resigned cornerback Kelvin Hayden to a oneyear httptcoYCpNt0kaJU
309		non-aggressive	0.058	0.942	Ive been too angry lately Life too short to be angry
